name,true_score,game,review_link,useless1,Site_address,useless12,useless13,useless14,,
Hardcore Gamer,90,,http://www.eurogamer.it/articles/2014-08-15-diablo-iii-3-ultimate-evil-edition-reaper-of-souls-il-male-e-ancora-vivo-recensione-review,,,,,,,
Game Revolution,90,,http://www.eurogamer.net/articles/2014-08-12-diablo-3-ultimate-evil-edition-review,,,,,,,
Push Square,90,,http://www.gamingnexus.com/Article/4503/Diablo-III-Reaper-of-Souls-e28093-Ultimate-Evil-Edition/,,,,,,,
GameSpot,90,,http://www.videogamer.com/reviews/diablo_3_ultimate_evil_edition_review.html,,,,,,,
Eurogamer Italy,90,,http://www.escapistmagazine.com/articles/view/video-games/editorials/reviews/12093-Diablo-III-Ultimate-Evil-Edition-Review,,,,,,,
Eurogamer,90,,http://www.gameblog.fr/tests/2012-diablo-iii-reaper-of-souls-ps4,,,,,,,
Gaming Nexus,90,,http://www.merlininkazani.com/Diablo_III_Reaper_of_Souls_Ultimate_Evil_Edition-oyun_inceleme-76453p1.html,,,,,,,
VideoGamer,90,,http://www.xgn.nl/review/58561/diablo-iii-reaper-of-souls-ultimate-evil-edition,,,,,,,
The Escapist,90,,http://www.levelup.com/PlayStation-4/juegos/50437/Diablo-III-Ultimate-Evil-Edition/review,,,,,,,
Gameblog.fr,90,,http://www.spaziogames.it/recensioni_videogiochi/console_multi_piattaforma/16608/diablo-3-ultimate-evil-edition.aspx,,,,,,,
Merlin'in Kazanı (Turkey),89,,%20http://www.jeuxactu.com/test-diablo-3-reaper-of-souls-la-version-ps4-meilleure-que-sur-pc-94804.htm,,,,,,,
Pelit (Finland),88,,http://www.everyeye.it/ps4/articoli/diablo-iii-ultimate-evil-edition_recensione_23341,,,,,,,
XGN,85,,http://canadianonlinegamers.com/review/diablo-3-ultimate-evil-edition-review/,,,,,,,
LevelUp,85,,http://www.3djuegos.com/juegos/analisis/19342/0/diablo-iii-ultimate-evil-edition/,,,,,,,
SpazioGames,85,,http://nzgamer.com/reviews/2119/diablo-ultimate-evil-edition.html,,,,,,,
JeuxActu,85,,http://metro.co.uk/2014/08/19/diablo-iii-ultimate-evil-edition-review-mouse-vs-gamepad-4837671/,,,,,,,
Everyeye.it,85,,http://www.giantbomb.com/reviews/diablo-iii-reaper-of-souls-ultimate-evil-edition-r/1900-647/,,,,,,,
Canadian Online Gamers,85,,,,,,,,,
3DJuegos,85,,,,,,,,,
NZGamer,82,,,,,,,,,
Metro GameCentral,80,,,,,,,,,
Giant Bomb,80,,,,,,,,,
Gaming Age,91,Disney Infinity 2.0 Edition,http://www.gaming-age.com/2014/09/disney-infinity-marvel-super-heroes-2-0-edition-review/,http:,www.gaming-age.com,2014,9,disney-infinity-marvel-super-heroes-2-0-edition-review,,
EGM,90,,http://www.egmnow.com/articles/reviews/egm-review-disney-infinity-marvel-super-heroes-2-0-edition/,,,,,,,
Playstation Official Magazine Australia,90,,http://www.lazygamer.net/review/disney-infinity-2-0-marvel-super-heroes-review-make-mine-marvel/,,,,,,,
Lazygamer,84,,http://it.ign.com/disney-infinity-2-0-ps4/85708/review/disney-infinity-20-la-recensione,,,,,,,
IGN Italia,82,,http://nzgamer.com/reviews/2134/disney-infinity-2-0.html,,,,,,,
NZGamer,81,,http://www.gameover.gr/reviews/item/29211-disney-infinity-2-0-marvel-super-heroes,,,,,,,
GameOver.gr,80,,http://worthplaying.com/article/2014/9/29/reviews/93669/,,,,,,,
Play UK,80,,http://www.gamingnexus.com/Article/4544/Disney-Infinity-20/,,,,,,,
Worth Playing,80,,http://www.actiontrip.com/reviews/ps4/disney-infinity-20-edition-marvel-super-heroes.phtml,,,,,,,
Gaming Nexus,80,,http://www.hardcoregamer.com/2014/09/19/disney-infinity-marvel-super-heroes-2-0-edition/106122/,,,,,,,
ActionTrip,80,,http://www.gamerevolution.com/review/disney-infinity-marvel-super-heroes,,,,,,,
Hardcore Gamer,80,,http://www.gametrailers.com/reviews/caovu4/disney-infinity-2-0--marvel-super-heroes-review,,,,,,,
Game Revolution,80,,http://cheatcc.com/ps4/rev/disneyinfinitymarvelsuperheroesreview.html,,,,,,,
GameTrailers,80,,http://www.destructoid.com/review-disney-infinity-marvel-super-heroes-281121.phtml,,,,,,,
Cheat Code Central,80,,http://www.theguardian.com/technology/2014/sep/18/disney-infinity-marvel-super-heroes-review,,,,,,,
Destructoid,80,,http://www.gamerstemple.com/game-reviews/playstation-4/8949/disney-infinity-marvel-super-heroes-review,,,,,,,
Guardian,80,,http://www.pu.nl/artikelen/review/disney-infinity-20-marvel-super-heroes-starter-pack-review-2/,,,,,,,
Gamers' Temple,76,,http://www.gamestm.co.uk/reviews/disney-infinity-2-0-marvel-super-heroes-review/,,,,,,,
Power Unlimited,75,,http://multiplayer.it/recensioni/138395-disney-infinity-20-marvel-super-heroes-supereroi-infiniti.html,,,,,,,
